language,repo_num,user_num,ranked_repo,tags
ANTLR,294,88,"[""lrowe/lucenequery"",""fjenett/processing-preprocessor-antlr4"",""metadave/rrd-antlr4"",""marconilanna/minimal-sbt-antlr4"",""Shoen/aggregate-1""]",[]
KiCad,2711,571,"[""mrehkopf/sd2snes"",""tardate/LittleArduinoProjects"",""jdesfossez/usbarmory"",""jasiek/ESP8266-PowerMonitor"",""nyxtom/threephase"",""SunboX/tiny-ESP8266-breakout"",""imrehg/grovehat"",""adamstac/electronics"",""njh/1wire-wall-sensor"",""donpdonp/esp-ftl""]",[]
SQLPL,1544,474,"[""ionas/levenshtein-sql"",""qbit/orts"",""ilkka/mealprep"",""billy1arm/ScriptDev2-Translate-FR"",""leandrocp/docker-pentaho""]",[]
AMPL,257,63,[],[]
DTrace,75,16,"[""patcoll/hellod""]",[]
Liquid,591,127,"[""keirwhitaker/shopify-birthday-suit"",""carolineschnapp/ajaxify-cart"",""carolineschnapp/make-image-change-variant"",""carolineschnapp/add-product-to-cart-automatically"",""carolineschnapp/cart-attributes-validation"",""carolineschnapp/donation"",""gavinballard/skillshare-examples"",""jteneycke/documentation"",""danielvlopes/documentation"",""dsabanin/skeleton-theme""]",[]
GLSL,2647,539,"[""calleerlandsson/shader-talk"",""valera-rozuvan/urho3d-demos"",""titanous/tls_prober"",""triptych/superpowers-asset-packs"",""MrJoy/RaymarchingInUnity"",""MrJoy/OpticalCircuitUnityPort"",""paulbatum/Workbooks"",""julik/crok_matchbox"",""fschaefer/recalbox-buildroot"",""mattfoster/tls_prober""]",[]
Ragel in Ruby Host,59,0,"[""earl/ohcount"",""dmitry/redcloth"",""ferdinandrosario/redcloth"",""brodock/redcloth"",""Ocramius/ohcount"",""leehambley/libterminal"",""kruton/ssh-ragel"",""robinst/ohcount"",""jystic/itch""]",[]
Nginx,3700,504,"[""ernie/the_setup"",""princemaple/docker-nginx-lb"",""jlecour/ssl-gandi-nginx-debian"",""p8952/nginx-puma-sinatra"",""hsbt/nginx-tech-talk"",""rossriley/docker-bolt"",""authorNari/mrb_vs_lua_in_ngx"",""glogiotatidis/dokku-static-site"",""jtblin/nginx-k8s"",""lucasmundim/nginx-lua-push-stream-dockerfile""]",[]
Yacc,502,84,"[""cliffordwolf/yosys-plugins"",""walf443/parser"",""dLobatog/parser"",""nelhage/parser"",""yoshinorim/rqg"",""ykzts/parser"",""yuki-kimoto/try-static-perl"",""patperry/rust-grammar""]",[]
Jasmin,19,5,"[""epitron/decompiler-vulnerabilities-and-bugs""]",[]
F#,0,0,"[""SuaveIO/suave"",""mausch/Fleece"",""bleis-tift/FSharp.Quotations.Compiler"",""kongo2002/SharpXml"",""bartelink/FunDomain"",""bleis-tift/TableDsl"",""mausch/MbUnit.FSharp"",""mausch/XmlLiteralsTypeProvider"",""mausch/EdmundsNet"",""mausch/FsControl""]","[""Functional""]"
